new_patient_service_time,total_patients,avg_wait_time,max_wait_time,avg_queue_length,max_queue_length,server_utilization,preemption_count,new_patient_avg_wait,recheck_patient_avg_wait,runs
5,82.66666666666667,5.918685633433203,30.94389886528819,0.8999871089295454,5,0.9734584664065248,11.666666666666666,8.60518406534906,1.4418441931246253,3
10,74.0,46.31193098629725,158.47332647912975,9.556148544796471,23,1.0,17.666666666666668,75.31499694540499,1.4418441931246253,3
15,60.666666666666664,70.38858934427584,245.732316420285,16.363918885418215,36,1.0,18.0,132.61537344700392,1.4418441931246253,3
20,56.333333333333336,70.0272766816653,308.86309508070605,19.147255689424366,43,1.0,18.0,141.61422802006035,1.4418441931246253,3
25,53.0,72.34545946676626,330.64474468851654,20.703550994099853,46,1.0,18.0,156.54005478770927,1.4418441931246253,3
